SITE;ELEVATION.m;YEAR;SEASON;SST.C;S.date;t.units;R.replicate;LGR;LLRw;TurnR;PI;SDW;NH4.uM.mean;NO2.uM.mean;NO3.uM.mean;PO4.uM.mean;Plant.num;t.d.;L.gross.cm;n;DW_LL
CN1;0.4;2009;SPRING;58.691;09/05/2009;17;4;6.2;1.5;0.024;10.7;0.2542;1.663;0.815;0.867;0.026;10;32;100.9;4;0.001777622
CN1;0.4;2009;SUMMER;70.875;08/07/2009;18;4;5.2;1.5;0.023;9.3;0.2279;0.166;0.109;0.105;0.026;7;28;92.3;4;0.00155034
CN1;0.4;2009;FALL;56.643;11/11/2009;19;4;0.6;3.1;0.015;30;0.0388;0.166;0.167;1.637;0.059;15;30;12.5;2;0.00191133
CN1;0.4;2011;FALL;55.175;14/10/2011;24;4;0.9;1.2;0.017;14;0.0516;0.707;0.253;2.653;0.085;11;28;24.3;3;0.001231504
CN1;0.4;2012;WINTER;42.771;07/02/2012;25;4;0.3;1.1;0.011;30;0.0273;0.166;0.109;0.105;0.026;4;30;5.1;2;0.001844595
CN1;0.4;2012;SPRING;57.003;22/05/2012;26;4;2.1;0.8;0.024;14.5;0.0879;0.166;0.109;1.944;0.026;9;29;36.5;3;0.001515517
CN1;0.4;2012;SUMMER;68.57;19/07/2012;27;4;1.1;1.4;0.008;29;0.1453;1.336;0.109;2.419;0.026;4;29;26.4;2;0.001340406
CN1;0.4;2012;FALL;55.749;01/11/2012;28;4;1.5;5.8;0.014;29;0.1035;0.873;0.444;8.202;0.06;8;29;20;2;0.002401392
CN1;0.4;2013;WINTER;44.21;12/02/2013;29;4;0.4;0.9;0.011;27;0.036;0.932;0.188;3.968;0.026;14;27;7;2;0.002465753
CN1;0.4;2013;SPRING;56.744;11/05/2013;30;4;0.4;0.2;0.008;NA;0.0491;0.431;0.288;11.558;0.033;11;32;5.5;1;0.000900917
CN1;0.4;2014;FALL;57.609;23/10/2014;33;4;0.7;1.6;0.024;14.5;0.0294;4.573;0.569;3.919;0.026;5;29;20.5;3;0.001199766
CN2;-0.08;2006;WINTER;43.916;14/02/2006;3;4;1.4;11.1;0.009;28;0.1627;NA;NA;NA;NA;28;28;8.7;2;0.005165079
CN2;-0.08;2006;SPRING;60.412;10/05/2006;4;4;9.4;6.7;0.027;9.7;0.3428;NA;NA;NA;NA;26;29;133.5;4;0.001878356
CN2;-0.08;2006;SUMMER;72.76;12/07/2006;5;4;3.1;0.8;0.021;15;0.1455;6.513;0.174;4.178;0.395;25;30;64.9;2;0.001239353
CN2;-0.08;2006;FALL;57.373;23/10/2006;6;4;2.4;5.4;0.012;27;0.2067;NA;NA;NA;NA;21;27;58.5;2;0.001922791
CN2;-0.08;2007;WINTER;44.395;04/02/2007;7;4;0.2;2.4;0.002;NA;0.0924;NA;NA;NA;NA;27;32;1.5;1;0.003132203
CN2;-0.08;2007;SPRING;57.63;02/05/2007;8;4;6.7;3.3;0.016;14;0.4122;0.734;0.283;0.516;0.227;24;28;98.5;3;0.00194434
CN2;-0.08;2007;SUMMER;69.567;30/06/2007;9;4;12.4;10.1;0.027;15.5;0.4525;1.719;0.109;0.605;0.248;27;31;209;6;0.001843177
CN2;-0.08;2007;FALL;55.583;14/10/2007;10;4;1.1;3;0.006;30;0.1763;1.081;0.935;3;0.074;28;30;16.7;2;0.002155257
CN2;-0.08;2008;WINTER;48.163;24/01/2008;11;4;4.5;2.7;0.012;29;0.3668;0.166;0.229;0.5;0.026;24;29;38.1;2;0.003380645
CN2;-0.08;2008;SPRING;57.199;29/04/2008;12;4;5.8;1.2;0.022;14;0.2669;1.136;1.022;0.46;0.411;19;28;97.1;3;0.001645499
CN2;-0.08;2008;SUMMER;68.568;16/07/2008;13;4;6;7.8;0.023;13.5;0.2614;0.859;0.468;0.23;0.237;22;27;52.5;3;0.0023699
CN2;-0.08;2008;FALL;50.031;29/10/2008;14;4;2.7;2.5;0.018;28;0.154;1.525;0.956;6.323;0.026;9;28;29.3;2;0.001961783
CN2;-0.08;2009;WINTER;43.268;10/02/2009;15;4;2.5;4;0.014;29;0.1776;0.804;1.163;16.162;0.111;23;29;17;2;0.004385185
CN2;-0.08;2009;SPRING;58.691;09/05/2009;16;4;3.2;1.7;0.02;14;0.1607;1.663;0.815;0.867;0.026;20;28;33.6;3;0.001405949
CN2;-0.08;2009;SUMMER;70.875;08/07/2009;17;4;10.8;11.7;0.022;13;0.4885;0.166;0.109;0.105;0.026;22;26;113.6;3;0.002369059
CN2;-0.08;2009;FALL;56.643;11/11/2009;18;4;3;4.7;0.01;28;0.3006;0.166;0.167;1.637;0.059;19;28;29.9;2;0.003711111
CN2;-0.08;2010;WINTER;48.213;10/02/2010;19;4;1.7;5.5;0.019;28;0.0914;5.737;1.435;24.597;0.026;21;28;21.7;2;0.002883281
CN2;-0.08;2010;SPRING;58.65;30/04/2010;20;4;8.8;6.4;0.028;9.7;0.3121;NA;NA;NA;NA;21;29;104;4;0.002145017
CN2;-0.08;2011;SUMMER;70.903;01/07/2011;23;4;3.5;5.8;0.026;14.5;0.1367;0.166;0.109;1.653;0.026;23;29;65.4;3;0.00156946
CN2;-0.08;2012;SUMMER;68.57;19/07/2012;26;4;2.4;11.8;0.009;14.5;0.2657;1.336;0.109;2.419;0.026;20;29;26.6;3;0.002292494
CN2;-0.08;2012;FALL;55.749;01/11/2012;27;4;2.5;17;0.007;NA;0.3438;0.873;0.444;8.202;0.06;20;29;26;1;0.00320709
CN2;-0.08;2013;WINTER;44.21;12/02/2013;28;4;1.4;6.9;0.009;NA;0.152;0.932;0.188;3.968;0.026;22;28;9;1;0.004676923
CN2;-0.08;2013;SPRING;56.744;11/05/2013;29;4;14.8;8;0.024;8;0.6071;0.431;0.288;11.558;0.033;20;32;209.5;7;0.002239395
CN3;-0.5;2006;WINTER;43.916;14/02/2006;4;4;2.9;2.4;0.012;29;0.2426;NA;NA;NA;NA;38;29;35;3;0.002695556
CN3;-0.5;2006;SPRING;60.412;10/05/2006;5;4;8.5;2.3;0.018;14;0.4657;NA;NA;NA;NA;35;28;84.3;3;0.002022145
CN3;-0.5;2006;SUMMER;72.76;12/07/2006;6;4;9.4;5.4;0.02;10.3;0.4721;6.513;0.174;4.178;0.395;40;31;112.5;3;0.001955675
CN3;-0.5;2006;FALL;57.373;23/10/2006;7;4;5.4;5.1;0.016;28;0.3344;NA;NA;NA;NA;33;28;58;2;0.002051534
CN3;-0.5;2007;WINTER;44.395;04/02/2007;8;4;5.8;6.9;0.013;29;0.4442;NA;NA;NA;NA;38;29;35.5;3;0.003983857
CN3;-0.5;2007;SPRING;57.63;02/05/2007;9;4;1;2.7;0.005;30;0.2128;0.734;0.283;0.516;0.227;37;30;23;2;0.001811064
CN3;-0.5;2007;SUMMER;69.567;30/06/2007;10;4;12.2;NA;0.02;10.7;0.5994;1.719;0.109;0.605;0.248;39;32;120.7;3;0.002557167
CN3;-0.5;2007;FALL;55.583;14/10/2007;11;4;8.3;6.9;0.013;16.5;0.6154;1.081;0.935;3;0.074;35;33;89.5;3;0.003131807
CN3;-0.5;2008;WINTER;48.163;24/01/2008;12;4;4;3.8;0.017;28;0.2387;0.166;0.229;0.5;0.026;38;28;26.9;2;0.004151304
CN3;-0.5;2008;SPRING;57.199;29/04/2008;13;4;9.5;0.2;0.015;14.5;0.6462;1.136;1.022;0.46;0.411;34;29;96.3;3;0.002920018
CN3;-0.5;2008;SUMMER;68.568;16/07/2008;14;4;15.4;8.8;0.022;8.7;0.7056;0.859;0.468;0.23;0.237;30;26;173.8;4;0.002356713
CN3;-0.5;2008;FALL;50.031;29/10/2008;15;4;4.8;15.1;0.009;29;0.5205;1.525;0.956;6.323;0.026;39;29;43.5;2;0.003528814
CN3;-0.5;2009;WINTER;43.268;10/02/2009;16;4;1.9;3.1;0.018;28;0.1033;0.804;1.163;16.162;0.111;33;28;21.2;2;0.002740053
CN3;-0.5;2009;SPRING;58.691;09/05/2009;17;4;3.3;3.8;0.009;NA;0.3484;1.663;0.815;0.867;0.026;32;31;21.8;1;0.001766734
CN3;-0.5;2009;SUMMER;70.875;08/07/2009;18;4;11;6;0.02;14;0.554;0.166;0.109;0.105;0.026;31;28;85;3;0.002276089
CN3;-0.5;2009;FALL;56.643;11/11/2009;19;4;8.4;0.7;0.014;14.5;0.6193;0.166;0.167;1.637;0.059;34;29;89.3;3;0.002823985
CN3;-0.5;2010;SPRING;58.65;30/04/2010;21;4;2.1;5.4;0.017;14.5;0.1259;NA;NA;NA;NA;33;29;36;3;0.001928025
CN3;-0.5;2010;SUMMER;74.023;13/07/2010;22;4;18.1;14.1;0.02;10;0.9224;0.166;0.109;0.105;0.026;31;30;125.6;4;0.00431028
CN3;-0.5;2010;FALL;54.595;24/10/2010;23;4;4.4;11.7;0.01;31;0.4263;1.064;0.315;1.476;0.026;31;31;43.3;2;0.002753876
CN3;-0.5;2011;SUMMER;70.903;01/07/2011;26;4;16.4;15.3;0.02;14.5;0.8389;0.166;0.109;1.653;0.026;32;29;78.9;2;0.003770445
CN3;-0.5;2011;FALL;55.175;14/10/2011;27;4;2;5.1;0.01;28;0.1935;0.707;0.253;2.653;0.085;33;28;29.3;2;0.001830653
CN3;-0.5;2012;WINTER;42.771;07/02/2012;28;4;1.3;0.3;0.005;30;0.2527;0.166;0.109;0.105;0.026;30;30;13.8;2;0.003471154
CN3;-0.5;2012;SPRING;57.003;22/05/2012;29;4;9;1.8;0.02;14.5;0.4399;0.166;0.109;1.944;0.026;30;29;106.6;3;0.001995917
CN3;-0.5;2012;SUMMER;68.57;19/07/2012;30;4;11.4;6.3;0.024;7.5;0.4727;1.336;0.109;2.419;0.026;35;30;187;5;0.001720786
CN3;-0.5;2012;FALL;55.749;01/11/2012;31;4;6.2;12.6;0.012;29;0.5087;0.873;0.444;8.202;0.06;34;29;48.3;2;0.002639855
CN1;0.4;2012;WINTER;42.771;07/02/2012;25;3;0.3;0.5;0.017;30;0.0172;0.166;0.109;0.105;0.026;13;30;5.8;2;0.001194444
CN1;0.4;2006;WINTER;43.916;14/02/2006;4;3;0.7;NA;0.008;30;0.0859;NA;NA;NA;NA;3;30;10.7;2;0.001823779
CN1;0.4;2006;SUMMER;72.76;12/07/2006;6;3;2.9;3.3;0.022;9.7;0.1289;6.513;0.174;4.178;0.395;10;29;65.7;4;0.001440223
CN1;0.4;2006;FALL;57.373;23/10/2006;7;3;1.6;0.9;0.023;13;0.0687;NA;NA;NA;NA;6;26;26.3;3;0.001376754
CN1;0.4;2007;WINTER;44.395;04/02/2007;8;3;1.2;NA;0.011;28;0.107;NA;NA;NA;NA;6;28;13.4;2;0.002362031
CN1;0.4;2007;SUMMER;69.567;30/06/2007;10;3;6.4;4;0.03;9.3;0.2151;1.719;0.109;0.605;0.248;11;28;127.5;4;0.001418865
CN1;0.4;2008;WINTER;48.163;24/01/2008;12;3;0.5;1.4;0.012;30;0.0404;0.166;0.229;0.5;0.026;8;30;12.9;2;0.00187907
CN1;0.4;2008;SPRING;57.199;29/04/2008;13;3;1.7;1.1;0.025;14;0.0672;1.136;1.022;0.46;0.411;14;28;39;3;0.001320236
CN1;0.4;2008;FALL;50.031;29/10/2008;15;3;5.9;8.5;0.011;30;0.5182;1.525;0.956;6.323;0.026;24;30;40.5;2;0.003970881
CN1;0.4;2009;WINTER;43.268;10/02/2009;16;3;2;1.6;0.016;30;0.1221;0.804;1.163;16.162;0.111;4;30;19;2;0.002942169
CN1;0.4;2009;SPRING;58.691;09/05/2009;17;3;3.2;0.8;0.019;10.7;0.1691;1.663;0.815;0.867;0.026;9;32;59.4;4;0.001708081
CN1;0.4;2009;SUMMER;70.875;08/07/2009;18;3;4.8;2.5;0.032;7;0.1497;0.166;0.109;0.105;0.026;5;28;88.8;5;0.001512121
CN1;0.4;2009;FALL;56.643;11/11/2009;19;3;0.7;2.9;0.013;30;0.0555;0.166;0.167;1.637;0.059;9;30;13.5;2;0.002694175
CN1;0.4;2011;FALL;55.175;14/10/2011;24;3;1.4;3.1;0.015;14;0.0909;0.707;0.253;2.653;0.085;8;28;31;3;0.00158087
CN1;0.4;2012;WINTER;42.771;07/02/2012;25;3;0.4;0.6;0.014;30;0.0281;0.166;0.109;0.105;0.026;3;30;7.1;2;0.001478947
CN1;0.4;2012;SPRING;57.003;22/05/2012;26;3;2.4;0.9;0.027;9.7;0.0882;0.166;0.109;1.944;0.026;4;29;56.8;4;0.001226704
CN1;0.4;2012;SUMMER;68.57;19/07/2012;27;3;5.3;1.2;0.023;11;0.2348;1.336;0.109;2.419;0.026;3;11;35.2;2;0.001630556
CN1;0.4;2012;FALL;55.749;01/11/2012;28;3;0.8;5.1;0.011;29;0.0724;0.873;0.444;8.202;0.06;7;29;12.6;2;0.002358306
CN1;0.4;2013;WINTER;44.21;12/02/2013;29;3;0.4;0.5;0.013;27;0.0305;0.932;0.188;3.968;0.026;11;27;8.3;2;0.001980519
CN1;0.4;2013;SPRING;56.744;11/05/2013;30;3;0.6;1.2;0.015;16;0.0408;0.431;0.288;11.558;0.033;10;32;22.1;3;0.000886957
CN1;0.4;2014;FALL;57.609;23/10/2014;33;3;0.9;2;0.019;29;0.0484;4.573;0.569;3.919;0.026;4;29;17.3;2;0.001527097
CN2;-0.08;2006;WINTER;43.916;14/02/2006;3;3;0.4;1.2;0.005;28;0.0838;NA;NA;NA;NA;24;28;4.2;2;0.001939815
CN2;-0.08;2006;SPRING;60.412;10/05/2006;4;3;5.9;4.7;0.023;14.5;0.2617;NA;NA;NA;NA;24;29;93.8;4;0.001644877
CN2;-0.08;2006;SUMMER;72.76;12/07/2006;5;3;7.4;7.7;0.022;30;0.3332;6.513;0.174;4.178;0.395;24;30;46.5;1;0.002038209
CN2;-0.08;2006;FALL;57.373;23/10/2006;6;3;4.4;12.9;0.011;28;0.3985;NA;NA;NA;NA;20;28;64;2;0.002351032
CN2;-0.08;2007;WINTER;44.395;04/02/2007;7;3;3.8;1.5;0.011;16;0.3445;NA;NA;NA;NA;26;32;34.5;3;0.003445
CN2;-0.08;2007;SPRING;57.63;02/05/2007;8;3;7.6;1.1;0.016;14;0.4677;0.734;0.283;0.516;0.227;23;28;116.5;3;0.002029067
CN2;-0.08;2007;SUMMER;69.567;30/06/2007;9;3;11;7.2;0.021;10.3;0.5171;1.719;0.109;0.605;0.248;26;31;181.5;4;0.001856732
CN2;-0.08;2007;FALL;55.583;14/10/2007;10;3;5.6;12.9;0.012;30;0.451;1.081;0.935;3;0.074;25;30;50.5;2;0.003316176
CN2;-0.08;2008;WINTER;48.163;24/01/2008;11;3;1.6;1.7;0.015;29;0.1059;0.166;0.229;0.5;0.026;23;29;23.3;2;0.001928962
CN2;-0.08;2008;SPRING;57.199;29/04/2008;12;3;3;2.2;0.018;28;0.1702;1.136;1.022;0.46;0.411;18;28;56.5;2;0.001562902
CN2;-0.08;2008;SUMMER;68.568;16/07/2008;13;3;6.7;8.4;0.024;13.5;0.2803;0.859;0.468;0.23;0.237;21;27;100.7;3;0.001833224
CN2;-0.08;2008;FALL;50.031;29/10/2008;14;3;2.2;7.4;0.006;28;0.3798;1.525;0.956;6.323;0.026;8;28;28.8;2;0.002684099
CN2;-0.08;2009;WINTER;43.268;10/02/2009;15;3;2.8;1.9;0.014;29;0.1938;0.804;1.163;16.162;0.111;22;29;23.2;2;0.004149893
CN2;-0.08;2009;SPRING;58.691;09/05/2009;16;3;7;2.7;0.017;14;0.4053;1.663;0.815;0.867;0.026;19;28;78.5;3;0.002331991
CN2;-0.08;2009;SUMMER;70.875;08/07/2009;17;3;5.5;10.5;0.022;26;0.2448;0.166;0.109;0.105;0.026;20;26;70.9;2;0.001980583
CN2;-0.08;2009;FALL;56.643;11/11/2009;18;3;2.3;4.6;0.016;28;0.1408;0.166;0.167;1.637;0.059;18;28;24.5;2;0.002933333
CN2;-0.08;2010;WINTER;48.213;10/02/2010;19;3;0.7;0.9;0.013;28;0.052;5.737;1.435;24.597;0.026;18;28;13.8;2;0.001614907
CN2;-0.08;2010;SPRING;58.65;30/04/2010;20;3;24.4;13.7;0.025;9.7;0.9705;NA;NA;NA;NA;19;29;52.5;3;0.008453833
CN2;-0.08;2011;SUMMER;70.903;01/07/2011;23;3;4.8;5.4;0.03;9.7;0.16;0.166;0.109;1.653;0.026;21;29;99.4;4;0.001428571
CN2;-0.08;2012;SPRING;57.003;22/05/2012;25;3;1.3;1.4;0.03;7.3;0.044;0.166;0.109;1.944;0.026;25;29;50.3;5;0.000762565
CN2;-0.08;2012;SUMMER;68.57;19/07/2012;26;3;7.2;6;0.015;9.7;0.48;1.336;0.109;2.419;0.026;19;29;41.7;4;0.002233597
CN2;-0.08;2012;FALL;55.749;01/11/2012;27;3;2.8;10.4;0.008;29;0.3635;0.873;0.444;8.202;0.06;19;29;29.3;2;0.003560235
CN2;-0.08;2013;WINTER;44.21;12/02/2013;28;3;3.6;5.4;0.018;13.5;0.2005;0.932;0.188;3.968;0.026;20;27;28.2;3;0.003855769
CN2;-0.08;2013;SPRING;56.744;11/05/2013;29;3;2.1;4.6;0.019;32;0.1102;0.431;0.288;11.558;0.033;19;32;34.3;2;0.001751987
CN3;-0.5;2006;WINTER;43.916;14/02/2006;4;3;0.4;0.8;0.008;29;0.0525;NA;NA;NA;NA;36;29;23.9;2;0.000822884
CN3;-0.5;2006;SPRING;60.412;10/05/2006;5;3;11;3.6;0.017;14;0.6379;NA;NA;NA;NA;34;28;121.2;3;0.002325556
CN3;-0.5;2006;SUMMER;72.76;12/07/2006;6;3;19.5;10.3;0.026;7.8;0.7499;6.513;0.174;4.178;0.395;39;31;190.7;7;0.00255764
CN3;-0.5;2006;FALL;57.373;23/10/2006;7;3;0.5;0.7;0.016;28;0.0312;NA;NA;NA;NA;32;28;66;2;0.000195611
CN3;-0.5;2007;WINTER;44.395;04/02/2007;8;3;1.2;7;0.008;29;0.1545;NA;NA;NA;NA;35;29;17;2;0.003511364
CN3;-0.5;2007;SPRING;57.63;02/05/2007;9;3;4.3;5.1;0.015;30;0.2851;0.734;0.283;0.516;0.227;35;30;71.5;2;0.002014841
CN3;-0.5;2007;SUMMER;69.567;30/06/2007;10;3;6.6;3.9;0.018;10.7;0.3696;1.719;0.109;0.605;0.248;38;32;93.9;4;0.002170288
CN3;-0.5;2007;FALL;55.583;14/10/2007;11;3;5.4;11.2;0.01;33;0.5382;1.081;0.935;3;0.074;34;33;41;1;0.00437561
CN3;-0.5;2008;WINTER;48.163;24/01/2008;12;3;3.7;1.9;0.024;14;0.1532;0.166;0.229;0.5;0.026;37;28;41.4;3;0.002482982
CN3;-0.5;2008;SPRING;57.199;29/04/2008;13;3;3.1;4;0.016;29;0.1936;1.136;1.022;0.46;0.411;33;29;51.5;2;0.001885102
CN3;-0.5;2008;SUMMER;68.568;16/07/2008;14;3;23.2;15.1;0.026;13;0.905;0.859;0.468;0.23;0.237;29;26;171.5;3;0.003181189
CN3;-0.5;2008;FALL;50.031;29/10/2008;15;3;1.9;9.8;0.005;NA;0.4074;1.525;0.956;6.323;0.026;38;29;14;1;0.00360531
CN3;-0.5;2009;WINTER;43.268;10/02/2009;16;3;1.3;1.4;0.01;28;0.1294;0.804;1.163;16.162;0.111;31;28;16.7;2;0.002357013
CN3;-0.5;2009;SPRING;58.691;09/05/2009;17;3;4.5;1.2;0.01;31;0.4321;1.663;0.815;0.867;0.026;31;31;71.6;3;0.002277807
CN3;-0.5;2009;SUMMER;70.875;08/07/2009;18;3;15.8;12.8;0.032;7;0.5004;0.166;0.109;0.105;0.026;29;28;190.6;7;0.002319889
CN3;-0.5;2009;FALL;56.643;11/11/2009;19;3;3.9;5.4;0.011;29;0.3643;0.166;0.167;1.637;0.059;30;29;41.5;2;0.002815301
CN3;-0.5;2010;WINTER;48.213;10/02/2010;20;3;1.5;1.6;0.007;44;0.2199;5.737;1.435;24.597;0.026;34;44;25.7;2;0.003012329
CN3;-0.5;2010;SPRING;58.65;30/04/2010;21;3;14.2;6.9;0.02;14.5;0.7071;NA;NA;NA;NA;32;29;128;3;0.002938903
CN3;-0.5;2010;SUMMER;74.023;13/07/2010;22;3;15.1;10.4;0.022;10;0.6744;0.166;0.109;0.105;0.026;29;30;179.8;4;0.002376321
CN3;-0.5;2010;FALL;54.595;24/10/2010;23;3;3.9;5.7;0.009;31;0.4352;1.064;0.315;1.476;0.026;28;31;38.7;2;0.002728527
CN3;-0.5;2011;SUMMER;70.903;01/07/2011;26;3;10.6;7;0.021;14.5;0.4989;0.166;0.109;1.653;0.026;29;29;167.2;3;0.001853269
CN3;-0.5;2011;FALL;55.175;14/10/2011;27;3;4.3;15.8;0.014;28;0.3135;0.707;0.253;2.653;0.085;32;28;33.1;2;0.0034375
CN3;-0.5;2012;WINTER;42.771;07/02/2012;28;3;1.1;0.1;0.005;30;0.2303;0.166;0.109;0.105;0.026;29;30;9.1;2;0.003133333
CN3;-0.5;2012;SPRING;57.003;22/05/2012;29;3;17;5.1;0.026;9.7;0.6542;0.166;0.109;1.944;0.026;29;29;251.1;11;0.001727033
CN3;-0.5;2012;SUMMER;68.57;19/07/2012;30;3;6.4;4.5;0.025;10;0.2574;1.336;0.109;2.419;0.026;31;30;132.6;4;0.001401961
CN3;-0.5;2012;FALL;55.749;01/11/2012;31;3;4.8;13.9;0.011;NA;0.4242;0.873;0.444;8.202;0.06;32;29;18.6;1;0.002659561
CN3;-0.5;2013;SUMMER;74.123;01/08/2013;34;3;8.6;6.5;0.024;14.5;0.3593;NA;NA;NA;NA;33;29;95.6;3;0.002575627
CN1;0.4;2012;WINTER;42.771;07/02/2012;25;2;0.4;NA;0.004;30;0.0939;0.166;0.109;0.105;0.026;12;30;5.2;2;0.002383249
CN1;0.4;2006;WINTER;43.916;14/02/2006;4;2;0.7;0.4;0.008;30;0.0924;NA;NA;NA;NA;2;30;13.8;2;0.002119266
CN1;0.4;2006;SUMMER;72.76;12/07/2006;6;2;4.9;2.8;0.018;14.5;0.2653;6.513;0.174;4.178;0.395;8;29;90.7;3;0.001861754
CN1;0.4;2006;FALL;57.373;23/10/2006;7;2;0.6;1.1;0.014;26;0.0421;NA;NA;NA;NA;4;26;13.5;2;0.001206304
CN1;0.4;2007;WINTER;44.395;04/02/2007;8;2;0.7;0.5;0.013;28;0.0559;NA;NA;NA;NA;3;28;11.3;2;0.001548476
CN1;0.4;2007;SUMMER;69.567;30/06/2007;10;2;8.2;4.3;0.031;9.3;0.266;1.719;0.109;0.605;0.248;4;28;103;4;0.002211139
CN1;0.4;2007;FALL;55.583;14/10/2007;11;2;0.4;2.5;0.003;NA;0.1198;1.081;0.935;3;0.074;11;34;18.5;1;0.002386454
CN1;0.4;2008;WINTER;48.163;24/01/2008;12;2;0.8;2;0.013;30;0.0627;0.166;0.229;0.5;0.026;3;30;14.8;2;0.002339552
CN1;0.4;2008;SPRING;57.199;29/04/2008;13;2;1.8;0.6;0.024;14;0.0762;1.136;1.022;0.46;0.411;13;28;47.7;3;0.001068724
CN1;0.4;2008;FALL;50.031;29/10/2008;15;2;4.8;6.2;0.012;28;0.4029;1.525;0.956;6.323;0.026;23;28;27;2;0.004341595
CN1;0.4;2009;WINTER;43.268;10/02/2009;16;2;1;0.1;0.006;NA;0.1625;0.804;1.163;16.162;0.111;3;30;10.3;1;0.002938517
CN1;0.4;2009;SPRING;58.691;09/05/2009;17;2;2.1;0.4;0.02;10.7;0.103;1.663;0.815;0.867;0.026;8;32;55.2;4;0.001229117
CN1;0.4;2009;SUMMER;70.875;08/07/2009;18;2;9.3;3.1;0.021;14;0.4534;0.166;0.109;0.105;0.026;3;28;114;3;0.00230973
CN1;0.4;2009;FALL;56.643;11/11/2009;19;2;1.1;2.4;0.016;30;0.0674;0.166;0.167;1.637;0.059;6;30;14.6;2;0.00197076
CN1;0.4;2010;SPRING;58.65;30/04/2010;20;2;4.6;0.3;0.023;14.5;0.2007;NA;NA;NA;NA;7;29;59;3;0.002115304
CN1;0.4;2010;FALL;54.595;24/10/2010;21;2;0.4;1;0.014;15.5;0.0281;1.064;0.315;1.476;0.026;13;31;15.2;3;0.001056391
CN1;0.4;2011;SUMMER;70.903;01/07/2011;23;2;3.4;2.3;0.029;7.3;0.1167;0.166;0.109;1.653;0.026;12;29;84.2;5;0.001162351
CN1;0.4;2011;FALL;55.175;14/10/2011;24;2;0.6;1.2;0.018;28;0.0336;0.707;0.253;2.653;0.085;7;28;10.1;2;0.000891247
CN1;0.4;2012;WINTER;42.771;07/02/2012;25;2;0.2;0.3;0.009;30;0.0215;0.166;0.109;0.105;0.026;2;30;6.2;2;0.001207865
CN1;0.4;2012;SPRING;57.003;22/05/2012;26;2;1.5;0.8;0.03;7.3;0.0506;0.166;0.109;1.944;0.026;3;29;40.7;5;0.001028455
CN1;0.4;2012;SUMMER;68.57;19/07/2012;27;2;4.3;4.8;0.027;7.3;0.1564;1.336;0.109;2.419;0.026;2;29;101.8;5;0.001421818
